Term	Count	PValue	Fold_Enrichment	Benjamini
splice_variant	516	1.3229195917563563E-7	1.1913330869083083	3.6942321282318336E-4
GO:0048534~hemopoietic_or_lymphoid_organ_development	41	1.6789791457631446E-7	2.4747813671247547	3.304571687923197E-5
GO:0044459~plasma_membrane_part	188	2.6014068652907314E-7	1.4092927075012813	2.9265402803013707E-5
GO:0060589~nucleoside-triphosphatase_regulator_activity	55	3.3873128484438535E-7	2.085610306767102	1.6545657120081714E-4
GO:0002684~positive_regulation_of_immune_system_process	38	3.7254995120093863E-7	2.5057224746046907	6.925051146100536E-5
GO:0030695~GTPase_regulator_activity	54	3.9167935985868095E-7	2.0933069784662424	1.2754880146004233E-4
GTPase_activation	28	4.0744373534008224E-7	3.048870924828332	5.6327521427146365E-5
GO:0045321~leukocyte_activation	38	5.684918648191585E-7	2.464305574198002	1.001094266286362E-4
GO:0001934~positive_regulation_of_protein_amino_acid_phosphorylation	21	5.720754179528339E-7	3.703016241299304	9.570366490729842E-5
GO:0042327~positive_regulation_of_phosphorylation	22	5.818430961318677E-7	3.5594039275719376	9.270272979311489E-5
GO:0002694~regulation_of_leukocyte_activation	30	5.91598617858926E-7	2.836217258826489	8.997275043343134E-5
GO:0051249~regulation_of_lymphocyte_activation	28	5.950929047027118E-7	2.9690850943751173	8.656935925244191E-5
T-cell	12	6.531699388136703E-7	6.701895996051219	7.223800953359838E-5
GO:0031252~cell_leading_edge	26	6.874864952164163E-7	3.111373253941505	6.187189169015728E-5
GO:0009967~positive_regulation_of_signal_transduction	43	7.178917184781295E-7	2.2875614455936133	1.0008109790127229E-4
GO:0002520~immune_system_development	41	8.255041550053359E-7	2.3313157806247684	1.1047941841224596E-4
domain:PH	35	9.700294676808793E-7	2.542878321359334	0.0013537296887656813
GO:0010562~positive_regulation_of_phosphorus_metabolic_process	22	9.915253253991588E-7	3.4526218097447794	1.2759360476477521E-4
GO:0045937~positive_regulation_of_phosphate_metabolic_process	22	9.915253253991588E-7	3.4526218097447794	1.2759360476477521E-4
GO:0010627~regulation_of_protein_kinase_cascade	38	1.157810565229211E-6	2.3950279074534797	1.4347253623336886E-4
GO:0042995~cell_projection	75	1.2312469913994172E-6	1.77699554013324	9.233931766383652E-5
SM00233:PH	44	1.2992851938260373E-6	2.1917197941470157	3.8321593520451724E-4
GO:0032535~regulation_of_cellular_component_size	40	1.3583301888646864E-6	2.3164185238140083	1.6230739454337062E-4
GO:0008047~enzyme_activator_activity	46	1.564895149949319E-6	2.1504708064022466	3.8215290040855E-4
GO:0005125~cytokine_activity	32	2.08204590502814E-6	2.570016392935573	4.0674944836671667E-4
GO:0005925~focal_adhesion	21	2.498573535385822E-6	3.399984800121599	1.6060988593391556E-4
GO:0009986~cell_surface	45	2.5487507479542913E-6	2.135458433573911	1.4335713565694075E-4
GO:0005886~plasma_membrane	287	2.6826472729355685E-6	1.2548527432802514	1.3412354819730687E-4
