gene	IL17A+
IL1B	1.78756795024981
EREG	1.78714620954601
RP11-498D10.5	1.78600154548937
WDR92	1.75962991278099
RP5-1142J19.2	1.77732206645248
FGR	1.75787102751328
TNFSF15	1.76784030852199
CCL2	1.77391021835482
RP11-84A19.2	1.76574835432311
TYROBP	1.73846685108594
MRPL33	1.73531072742791
TIGD6	1.72788927279042
RP5-943J3.1	1.69574867643608
RP4-814D15.2	1.68659357527264
CXCL9	1.75692191998089
COX7C	1.75101530906232
RP11-234A1.1	1.75859886446302
CSF2RA	1.75522276260716
RP11-677O4.6	1.7296456049222
SNRPB2	1.72821361595058
PVR	1.72962277266241
IDO1	1.75016099785136
CXCL2	1.74120118955013
TNFAIP2	1.76559975889953
CCL22	1.7690245432256
FCER1G	1.76952335706757
AP000356.1	1.71414537854533
DLL4	1.70182056449803
CCDC126	1.62710073545144
PTPLA	1.67181684881922
RPS10	1.68531496448151
COX6A1	1.69385249275664
RP11-87G24.3	1.69695925012775
RN7SL502P	1.72549817380781
HTATSF1P2	1.51817130134147
RP1-257I20.14	1.58272419638735
RP11-165F24.3	1.56312171249882
TDRD9	1.57331095798511
KIAA1328	1.71042432211888
ID1	1.73175834962462
RP11-34P13.7	1.66983734770771
RP11-288I21.1	1.66679203403622
ACTG1P3	1.69699906250265
CTC-507E2.1	1.68026346435723
MCMDC2	1.67873216825317
RP11-638I2.10	1.68215020002791
HSP90AB3P	1.67535485319008
ACADM	1.69663430617394
SLC25A34	1.62269672832344
CSF2RB	1.59293611934442
AC104820.2	1.526827001843
UBR7	1.5469133170175
SNORD19	1.58376233216918
FAM49A	1.62121073146468
TOMM7	1.63027541331111
TMEM99	1.60886005562917
XBP1P1	1.52147166104386
ANKRD39	1.59385316171825
SNORA34	1.62080709811214
KIF26B	1.61131878481445
RP11-324O2.3	1.68160551968048
TSPAN33	1.67179777713327
ACTB	1.72999023616627
MYL6B	1.69408078279984
RP1-168P16.2	1.69106469071897
PPL	1.69581118853963
PRG4	1.65483690305695
SMIM7	1.68348634385372
RP4-665N4.8	1.35963085185738
GLT8D1	1.40958665694689
SNORA71C	1.46383467674656
SNAI1	1.48312956712114
RP11-175I17.2	1.42227093918817
TRAV27	1.48895825531056
TMEM45B	1.57487877666006
CD40	1.60726849937304
CXCL3	1.51466685857357
RP11-848P1.4	1.52795071442862
FAM19A2	1.50653567509111
OSBPL5	1.58084135494541
AC005276.1	1.58911706700365
TUBGCP3	1.63864595843611
LYN	1.73168873381387
MMP10	1.70130127775632
AC079922.2	1.67264970099763
SLC2A6	1.63440125886816
ZRANB2-AS1	1.62179949890866
B3GNT4	1.60560323449642
FILIP1L	1.61293913198245
CYP51A1	1.60260983406922
SLC22A20	1.50020443638085
ZNF16	1.51977294150046
AF129075.5	1.54625535168342
AC007969.5	1.53859052052345
C6orf211	1.53183513497975
TRAV17	1.61110961477075
CFL1	1.59775424162885
RAB6B	1.44198395423345
TAC1	1.44585556424258
GAS5-AS1	1.54206622507543
CTC-340A15.2	1.51564640807972
RP11-484D2.3	1.51741873407069
C9orf116	1.55093861991559
TFPI2	1.56856935605051
TIMP3	1.47810477460908
TRAJ18	1.53872663010023
RP11-383F6.1	1.66967126920469
ZCCHC12	1.68910188452099
AL096677.1	1.68068515045374
TRAC	1.555642895364
SAMHD1	1.5965032257209
SAR1B	1.60400629703791
RP11-159D12.2	1.62732715462341
UBAC2-AS1	1.59338485529158
RP11-484D2.4	1.57946217538119
B4GALT3	1.61923838374998
ATP6V0C	1.50824279875893
SNORD63	1.58783216488038
TOR1A	1.55490909240044
GTF2A2	1.69434719526659
CUZD1	1.65800066471097
RP3-337H4.9	1.65468448389535
LRRC32	1.68280181137572
AL590867.1	1.70813739687475
MKI67IP	1.68899501871093
RN7SL559P	1.62639337046865
NRP2	1.64727421744332
STAMBPL1	1.66934571584037
CABLES1	1.67324176211831
SPRY3	1.68968818632954
TRAJ29	1.58316357361889
CHCHD5	1.5924040422097
TWF2	1.61506908572501
CCR7	1.59701150303126
AP001189.4	1.71967072502558
MAK	1.68796775200989
RBAK	1.42274218333194
UBE2B	1.4059835141478
AGAP5	1.55167478814006
VAV3	1.49446593839659
EIF4BP7	1.5439340650511
NUTM2G	1.53661792930157
RP11-214O1.2	1.26971791448169
Z83851.4	1.25735687111684
RP11-162A12.2	1.3600551112483
TMSB15B	1.45635187899672
FOXP3	1.47816724996703
LAMTOR5	1.48528245513734
VPS18	1.53638422738704
AKAP5	1.10567095949244
PARP15	1.21805231958169
UPF2	1.15096868113897
CTBS	1.17966756621307
TGFBRAP1	1.04806367906932
GSN	1.40044121211214
MPG	1.26878764156884
CDHR3	1.31601690425357
KDELR3	1.382642779461
RP1-99E18.2	1.49572844385901
ADAMTS1	1.45123552284559
OR2A1-AS1	1.42227812595411
NAV3	1.38158300533855
RBM34	1.55163672967586
RAP1A	1.49427104119275
JDP2	1.46459762272903
SLC45A3	1.38860739354953
GATAD2B	1.46983217880575
TMEM238	1.25850192221987
TNS4	1.28652278574401
CYB5R4	1.18387923500277
AL133373.1	1.08933737071104
CTNNBIP1	1.13179794683673
AP001007.1	1.12401973707859
COX8A	1.15733641098062
MIR590	1.44322858444916
ACSBG1	1.41145057898231
RP11-756P10.3	1.48394472504817
RP5-997D16.2	1.30086100447712
CNIH1	1.27691016432006
AIDA	1.35418746197867
RP5-994D16.3	1.44194741874913
CTC-349C3.1	1.54426782650795
PLGLA	1.40408512132077
TRIO	1.49717069197105
SNORA28	1.36670144181764
RP4-739H11.4	1.35115083216743
RP11-755F10.1	1.42197235381193
AL139147.1	1.56126825817266
KCNK12	1.55623276145722
RP11-153M7.3	1.62242449425355
EIF3CL	1.36533680853964
TAS2R5	1.27420325387935
LA16c-431H6.6	1.35515357708351
PKD1L3	1.29114467675329
RP11-747H7.3	1.42683454033356
CCDC122	1.42690443264614
CTC-215O4.4	1.45841585250219
FAM156B	1.34863117309913
AC017104.2	1.30393312526217
CSF1R	1.27646494685368
RP3-522J7.5	1.27580252771609
OSTCP1	1.07240389354779
TRBV6-4	1.04119386669505
AC024937.6	1.1761678008273
COMMD10	1.18410008650911
NDUFV2P1	1.24014029881711
RP11-143J12.3	1.26547289438324
CTSO	1.19981643019253
PIGN	1.20683592803801
RP11-350F4.2	1.1957233219545
RP1-266L20.2	1.05475091842732
TLDC1	1.02788116143045
PTCD2	1.08537069015545
AC007038.7	1.14231093809835
ACTR3	1.12968241932507
RP11-715F3.2	1.20453159759796
RP11-156P1.3	1.02489496774296
C17orf80	1.08228750491315
AC097713.4	1.09869805409266
RP11-440L14.4	1.09355923482054
AKR7L	1.02543078089159
OCLM	1.06654721889454
RP3-322G13.7	0.89114213327324
PTCD1	0.937659547330767
FAAH2	0.913161669551866
AC091814.3	0.908349157709017
CHIT1	1.43910235313242
NEDD8	1.41880662172079
EMC8	1.49089563677268
DMXL2	1.43760087555018
RP11-96K19.2	1.3763068547314
FTH1	1.36731965028654
RP4-635E18.8	1.30694576448847
PGM2L1	1.28849665816206
DTX2P1	1.2533198015697
DPCD	1.3399310531747
TMCC2	1.29317950833554
ASB16	1.36649171642462
CEP57L1	1.48156209101288
C17orf104	1.41302227026167
RP11-452J6.2	1.41884051485183
SLC8A2	1.34851861766599
RP11-327F22.2	1.34503432998411
RP11-692C24.2	1.3166538074383
BMS1P5	1.42855385972936
COX6B1	1.44755357870405
THAP1	1.23657318261915
HTN1	1.2711369922248
ZNF790	1.10176456351995
SH3D19	1.19147936792719
RP11-355B11.2	1.15395165040267
ZNF680	1.10313303661359
ZDHHC7	1.10944911971425
LRRC37A	1.15549043652866
RP11-178L8.3	1.12186717856383
CTB-179K24.3	1.27927153485538
NAA30	1.18623488921937
CALM2P2	1.20130999864467
PLEKHH1	1.24318273570554
FAM200B	1.32454121504476
RP11-33B1.4	1.23563801771914
TRAV35	1.27360043987605
RP11-78O7.2	1.0966887903636
TTN-AS1	1.0793388732303
SDHAF2	0.929129916355134
SPON1	0.901537817168032
GXYLT1	1.07441260406721
RSL24D1	1.29918287144341
GNRH2	1.30453357064692
DIABLO	1.27050082037746
SRSF8	1.21864657065342
WRB	1.07218864987989
SLC35A5	1.09759452973652
PLAT	1.13348877229741
MOCS2	1.20206533385464
RPP30	1.15314087913804
RP11-91J19.4	1.0564111717145
RP11-471B22.2	1.10486035590059
FUNDC1	1.16465950769087
TRAV18	1.24034034896838
CXADR	1.18991104255694
CHRNB1	1.08556395683601
AIFM2	1.11154590385841
EFCAB12	1.06715822257495
RPP25L	1.1011814351643
TRBV10-2	1.40024189204065
ZCCHC3	1.32715011089017
NDUFC2	1.30213148703568
RP11-656D10.3	1.10085338389023
RNF141	1.00225644820513
C9orf78	1.08511753860125
RP11-23J18.1	0.900370044541735
TREX2	0.874620204311544
MICE	1.10756219070272
LY6G5C	1.01677760103286
TRAPPC11	0.867571333032816
FCRL3	0.995435954281452
RP5-1041C10.3	0.992240542805475
SUMO1	0.979514799100732
P2RX5	1.05888749669891
SNRPE	0.866492757300097
SLC38A6	0.897928736726069
ZNF197	0.910131633913319
C4orf3	0.71819295719988
RWDD2B	0.826878210713624
INTS12	0.762530336550269
EXOSC3	0.794189209459952
ATP6V1A	0.775160244504643
RCN2	0.913323329792287
TBC1D19	0.878877679225477
LA16c-390E6.4	0.949633892987417
INO80C	0.947446211512245
ZNF586	0.766887645735718
UBE2K	0.815827780313643
DCLRE1A	0.745910209324335
MPZL1	0.750767293214892
SPAG5-AS1	0.665237541446251
LSP1	0.578894467935792
LEPRE1	0.524799128166111
ZWILCH	0.472797621408569
VIPAS39	0.470097303129325
BRCA1	0.543690972367168
TRBV7-3	0.382736436875901
UBE2Q1	0.447560368294664
RP1-234P15.4	0.461900441703565
C1orf85	0.468964790793889
NNT-AS1	0.503929388198975
FGGY	0.543451799466566
ZNF254	0.395411663162531
FUBP3	0.398578230702058
UBXN2B	0.43924422116421
PIBF1	0.443501099041807
MYEF2	0.619941529847646
THOC5	0.597378748883115
KIAA1467	0.534347500260327
ZNF17	0.634753302131524
