gene	IFN-
GLCCI1	1.596573830715
BLOC1S4	1.43557949005825
C1GALT1C1	1.4282593427068
IGFBP4	1.5356897972128
MAP7	1.44419893156256
NMB	1.47111413686328
PPP2R2B	1.53265432647496
SCAND1	1.59384737636436
CST7	1.62605802927016
RP11-603B24.2	1.44722523822585
PPP6C	1.39803618481849
B3GNT2	1.30248833898904
STAM2	1.28867350529838
SLC37A3	1.25657947417717
RAP1GDS1	1.26671384954462
AC010642.1	1.29475851953325
HLA-DPB1	1.28194756639154
C12orf5	1.06051182211231
GPR137B	1.10325744184459
PLA2G15	1.13035467144818
ARID5B	1.02970359289239
HLA-DQA2	1.20452930368284
CCND2	1.2182125421496
BLOC1S2	1.23800212314855
RP11-500C11.3	0.857834138445818
BCAS3	0.881444065165848
AC083799.1	0.707247954357642
KCTD21	1.07265852906685
C11orf57	1.0779014356296
HEATR1	1.09731620885514
CTPS1	0.777979691171322
RARS	0.791980396508261
ZBTB42	0.90965675465788
TMEM9B-AS1	0.795247726276247
ACSS1	0.573448901828913
ZUFSP	0.58692697909202
RP11-649A18.7	0.578241322394028
MLLT11	0.600715502818067
RAB27A	0.644095057860674
ATP5J2	0.720801104159398
BBS7	0.813477436135862
CDK5R1	0.528621753496394
JUNB	0.574448409883857
CHORDC1	0.64160675527056
RABGGTB	0.691298950845402
NAPG	0.671527879099979
FRMD4A	0.638119400916766
MTHFD2	0.588333888969166
CEBPZ	0.717857928949968
GPBP1L1	1.04312889035114
AAGAB	1.03744060305936
IFNGR1	0.982364738447431
FAM69A	0.906060247055989
RP11-536C5.7	0.996020167475723
SHC4	0.863958914004848
TMEM189	0.809982517601221
DCUN1D4	0.819564190686457
KCTD6	0.890627059067085
MYO19	0.859061815057483
SRP19	0.760231638107377
REXO2	0.749533250867477
RAB4B	1.18820446019137
PYROXD1	1.16253168938039
ELMSAN1	1.20166569326626
MIR142	1.11092062303408
DDX26B	1.14679320026643
FBXO7	1.07784361537089
RN7SL1	1.37438103805466
APOBEC3H	1.26726278918173
AC011247.3	1.23234747652402
ITGAV	1.24830067400375
MINPP1	1.29639082872735
NCALD	1.21722628024958
GZMB	1.31397716677716
ANKRD44	1.3076371026572
XXYLT1	1.25707546380244
RP11-277L2.4	1.39395946081801
ALCAM	1.37581305880188
DENND4C	1.13023321922367
TWSG1	1.13696563941999
RP11-519G16.5	1.04557902780047
TMEM192	1.03252181494728
COMMD3	1.08183245181028
POLR3C	1.06529321038762
NFATC2IP	1.0726143945245
FBXO5	1.11072440484429
B3GALTL	0.963070870566686
NKD2	1.0000775773377
TGFBR1	0.898539736591279
PAQR6	0.714409277477669
TIAM2	0.753769730241226
LRRC57	0.82398828662267
RP11-336K24.12	0.821219986603488
MRPS36	0.823627829369122
ACSL1	0.693447274988786
TROVE2	0.709616867693372
ABHD12	0.759141609077362
RP11-316M1.3	1.02785781890037
DPY19L3	0.952675519325315
ZNF48	1.00735341636276
TCP11L1	0.989451169985745
YPEL5	1.03993327675385
ARNTL	0.914366353207428
AMFR	0.8829656082053
FBXW11	0.804050970176736
RDH10	0.762252381196404
SEC23IP	0.748325583880123
HCP5	0.796302309149769
DNAJB14	0.893809994962005
GZMA	1.64596413735449
CARS2	1.61630779219218
RP11-68L18.1	1.64775670603366
RP11-894J14.5	1.63637973075817
CASC5	1.59759406872663
UBE2E3	1.48340957580305
DCTN5	1.45275574873558
UBE2Q2P1	1.38156660450982
ABI3	1.45089683787517
RP11-464F9.20	1.44822528711485
FAM3C	1.42392606444953
C2orf44	1.37082875899726
E2F4	1.55869488937913
USP25	1.52805854868893
TEFM	1.46672390907774
CD72	1.42020603590337
RP11-326C3.2	1.22602276384634
ATHL1	1.28035943241411
FEZ1	1.21984247715233
SFI1	1.02758958900334
RP11-395A13.2	1.27783425183459
RP11-785H5.2	1.13421356917092
FAM160B1	1.34366979868907
RNPEPL1	1.38351621967988
CMAHP	1.29561888460369
AASDHPPT	1.24906958828584
OPTN	1.27958600898725
MVB12B	1.42672558880307
GIT1	1.45572202533533
F2RL2	1.48927501023831
FAHD1	1.51184783562391
MARVELD2	1.52765856441628
COPS8	1.29826443294303
UBASH3B	1.31145097700435
GLDC	1.3484919709929
RHOB	1.3738065410455
CTD-3110H11.1	1.60834699598839
KCNK5	1.63194453076116
ATP9A	1.67340201645798
SETBP1	1.4877767670528
EXTL3	1.52195921097714
CCL4	1.77301898245765
CCL3	1.77267308025334
PPM1K	1.77922734094705
CCL5	1.76996644351663
NKG7	1.77500737218994
CD160	1.78357125497588
CRTAM	1.78588709210001
GAS7	1.78212365107699
IFI27	1.7737551911563
DCBLD1	1.75689941814095
PLEK	1.76043997172577
XCL2	1.74327126977072
SYNE1	1.75738144823212
CCL3L3	1.73737904181163
STOM	1.73659498774443
DIXDC1	1.76618302553958
PLD2	1.78020259169228
PRSS23	1.77335174448604
GZMH	1.7850995798102
RP11-222K16.2	1.77138661520273
FGFBP2	1.77694730477456
GZMK	1.78444158170936
SLAMF7	1.78416562437646
IFNG-AS1	1.78575929021914
EOMES	1.78610334880424
DTHD1	1.76444960202314
CXCL13	1.7686976148256
APOBEC3G	1.711919897539
CCL3L1	1.70907998948124
LHFP	1.67501898144832
AC013264.2	1.67079238492429
RP11-288H12.3	1.7225241303355
ATP6V1B2	1.69930767420464
RCAN2	1.73342150360347
BSPRY	1.74220757140683
CCL4L1	1.74742894188321
ME1	1.73940098637061
CCL4L2	1.76327768422407
LRRC16B	1.73769350059727
PRF1	1.75737989311835
APOBEC3D	1.7027435848584
ARHGEF34P	1.70574087282189
APOBEC3C	1.68414927380352
AC005154.6	1.73920625529859
DCUN1D2	1.73501369431811
MIR3682	1.74377408487954
GALNT1	1.70610599569458
ARHGEF5	1.73507331885579
ZNF79	1.64416514237644
TMEM8A	1.6872419817266
EXO5	1.62892704261865
IPO8	1.63346119806915
GSG2	1.71848655500956
SWSAP1	1.74981745246092
AC007278.2	1.76533986737769
USP24	1.76164579709694
C17orf66	1.77029646826014
F2R	1.72676988914201
B3GAT1	1.74492258943592
TMEM63C	1.71799965978692
ZADH2	1.63985795899462
MRPL13	1.63164950342177
RP11-603B24.1	1.68167725363711
ZNF596	1.58325902035413
GIPR	1.61704657470678
CTD-2313F11.1	1.71456410967737
CENPB	1.67433719898912
ZNF101	1.65116758629705
TBC1D15	1.65251932788069
CTA-250D10.23	1.73851542712953
CMC1	1.74388296243557
ZNF821	1.7043224076121
C17orf62	1.73376071298138
G3BP1	1.75001973396384
NAA20	1.64774811244284
PPP2R5C	1.64031915010777
HLA-DMA	1.67226994829158
ZNF12	1.62020553031189
PPP1R8	1.67061585631516
RP11-927P21.4	1.71036988227069
KLHL9	1.73395507808262
PCED1B	1.7403723381993
RP11-159G9.5	1.69858185943963
TAGAP	1.68435456055758
RP11-693N9.2	1.62015528369638
S100PBP	1.62898858514955
SPON2	1.63594640786467
KLRC1	1.74099088982072
ST8SIA1	1.7355139698409
EIF2B4	1.71617420357173
KLRD1	1.71553548559627
APAF1	1.74715061050629
IFNG	1.74631720786463
RP11-94L15.2	1.66985354453896
CX3CR1	1.672799400306
FAM46C	1.64102739006074
PYHIN1	1.65635135893431
SLC4A4	1.68926601201814
PIGT	1.5681171087536
PLS3	1.67905884357296
PRKCB	1.64790404201042
KRR1P1	1.6160923222458
ORMDL3	1.58357422439547
RP4-530I15.9	1.63311678634999
PAQR3	1.62662345604916
GFM1	1.62694834561068
KLHDC3	1.6314052291855
C14orf119	1.51562542786341
HAVCR2	1.6090260645406
OGT	1.70864273504466
GABARAPL2	1.72100722506939
WWP1	1.66526066642064
AC007278.3	1.75030359096964
AVL9	1.77250070957818
SEPT1	1.58034044513252
ZNF207	1.62836086598027
LRRC37BP1	1.62607489250811
SF3B1	1.55326163405594
VAC14-AS1	1.42795517027814
GABPA	1.51835840491072
TIMMDC1	1.4870013076338
DSTYK	1.57288389703321
MALAT1	1.65559479855008
PMS1	1.54901097519774
BRD3	1.54622861649867
DLG1	1.6072575095447
SRSF10	1.50323860501667
GGA3	1.50697200709955
IGHV4-4	1.66596369088367
GABPB1	1.65987646439479
RSRC1	1.64172362550378
MAN2A1	1.63186056017113
RNGTT	1.53697205962765
ZNF277	1.1165165522831
TMEM209	0.947778454732959
RPF1	0.773084398246566
PCCA	0.955114849375174
FAM102B	0.906796153712149
RP11-344N10.5	1.04489707043719
SNRNP35	1.10081999757253
NDFIP2	1.18553071760468
CD3E	1.02636562998546
TIGIT	1.02174364135035
STK16	1.25090218598931
RANBP9	1.32234955926791
CXCR5	1.1578718750472
KYNU	1.12428975809472
RP11-565F19.2	1.09075693151658
RP11-158I9.5	0.849665396234075
PPP1CA	0.861272545261797
AP000525.9	1.44242071915287
RINL	1.49568244616165
DCP2	1.5047379407019
COMMD4	1.48050407447499
PURA	1.40557492136816
STK17A	1.31475323470763
NLK	1.32865967047578
GALK1	1.32910274958878
TBC1D4	1.28756691952116
LEPROT	1.33386446491033
IL1RN	1.3545676731249
ZNF155	1.06057319964519
SOBP	1.20454991650569
