YWHAH	14-3-3 protein eta
CMTR2	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2
YDJC	Carbohydrate deacetylase
CHST11	Carbohydrate sulfotransferase 11
CHST7	Carbohydrate sulfotransferase 7
CA2	Carbonic anhydrase 2
CBR4	Carbonyl reductase family member 4
CES4A	Carboxylic ester hydrolase
CPD	Carboxypeptidase D
CTDSP1	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1
CLCF1	Cardiotrophin-like cytokine factor 1
CBLB	Cas-Br-M (Murine) ecotropic retroviral transforming sequence b, isoform CRA a
CSNK1G1	Casein kinase I isoform gamma-1
CSNK2A2	Casein kinase II subunit alpha'
CFLAR	CASP8 and FADD-like apoptosis regulator
CASP7	Caspase-7
CARD11	Caspase recruitment domain-containing protein 11
COMTD1	Catechol O-methyltransferase domain-containing protein 1
CTNNB1	Catenin beta-1
CTSL	Cathepsin L1
ATP13A3	Cation-transporting ATPase
CTIF	CBP80/20-dependent translation initiation factor
CEBPD	CCAAT/enhancer-binding protein delta
CCDC43	CCDC43 protein
CCL20	C-C motif chemokine 20
CD226	CD226 antigen
CD48	CD48 antigen
CD58	CD58 antigen, (Lymphocyte function-associated antigen 3), isoform CRA c
CD59	CD59 glycoprotein
CD70	CD70 antigen
CD83	CD83 antigen
CD99	CD99 antigen
TRIP10	Cdc42-interacting protein 4
CISD3	CDGSH iron-sulfur domain-containing protein 3, mitochondrial
CDC7	Cell division cycle 7-related protein kinase
CDCA2	Cell division cycle-associated protein 2
CDCA4	Cell division cycle-associated protein 4
CDC123	Cell division cycle protein 123 homolog
CDC20B	Cell division cycle protein 20 homolog B
CDC27	Cell division cycle protein 27 homolog
MCAM	Cell surface glycoprotein MUC18
CENPBD1	CENPB DNA-binding domain-containing protein 1
CCSAP	Centriole, cilia and spindle-associated protein
CNTROB	Centrobin
CENPL	Centromere protein L
CENPN	Centromere protein N
CEP112	Centrosomal protein of 112 kDa
CEP170B	Centrosomal protein of 170 kDa protein B
CEP57	Centrosomal protein of 57 kDa
CEP72	Centrosomal protein of 72 kDa
CERK	Ceramide kinase
CHMP4B	Charged multivesicular body protein 4b
CHMP6	Charged multivesicular body protein 6
CLIC5	Chloride intracellular channel protein 5
CHKA	Choline kinase alpha
CHRAC1	Chromatin accessibility complex protein 1
CHAF1B	Chromatin assembly factor 1 subunit B
CHD1	Chromodomain-helicase-DNA-binding protein 1
CHD3	Chromodomain-helicase-DNA-binding protein 3
CHD4	Chromodomain-helicase-DNA-binding protein 4
CHD9	Chromodomain-helicase-DNA-binding protein 9
CDYL2	Chromodomain Y-like protein 2
CHTF8	Chromosome transmission fidelity protein 8 homolog isoform 2
CLOCK	Circadian locomoter output cycles protein kaput
MAPK8IP1	C-Jun-amino-terminal kinase-interacting protein 1
CMTM3	CKLF-like MARVEL transmembrane domain containing 3, isoform CRA b
CMTM6	CKLF-like MARVEL transmembrane domain-containing protein 6
BHLHE40	Class E basic helix-loop-helix protein 40
CLTCL1	Clathrin heavy chain 2
CLDND1	Claudin domain-containing protein 1
NUDT21	Cleavage and polyadenylation-specificity factor subunit 5
CPSF6	Cleavage and polyadenylation-specificity factor subunit 6
CSTF3	Cleavage stimulation factor subunit 3
ST3GAL2	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2
ST8SIA4	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase
F8	Coagulation factor VIII
STAG1	Cohesin subunit SA-1
CCDC12	Coiled-coil domain-containing protein 12
CCDC14	Coiled-coil domain-containing protein 14
CCDC50	Coiled-coil domain-containing protein 50
CCDC90B	Coiled-coil domain-containing protein 90B, mitochondrial
CCDC94	Coiled-coil domain-containing protein 94
CSDE1	Cold shock domain-containing protein E1
COL5A1	Collagen alpha-1(V) chain
COL5A3	Collagen alpha-3(V) chain
CD93	Complement component C1q receptor
CFH	Complement factor H
CPLX1	Complexin-1
NCAPG2	Condensin-2 complex subunit G2
CPNE7	Copine-7
CORO1C	Coronin
CORO2A	Coronin-2A
CTXN1	Cortexin-1
CMC2	COX assembly mitochondrial protein 2 homolog
OBFC1	CST complex subunit STN1
MRC2	C-type mannose receptor 2
CUL1	Cullin-1
CUL4A	Cullin-4A
CUL5	Cullin-5
CXCR6	C-X-C chemokine receptor type 6
CXXC5	CXXC-type zinc finger protein 5
ATF5	Cyclic AMP-dependent transcription factor ATF-5
CCNC	Cyclin-C
CCNDBP1	Cyclin-D1-binding protein 1
CDK16	Cyclin-dependent kinase 16
CDK19	Cyclin-dependent kinase 19
CDK2AP1	Cyclin-dependent kinase 2-associated protein 1
CDK7	Cyclin-dependent kinase 7
CDK9	Cyclin-dependent kinase 9
CDKN1B	Cyclin-dependent kinase inhibitor 1B
CDKN2A	Cyclin-dependent kinase inhibitor 2A
CDKN3	Cyclin-dependent kinase inhibitor 3
CDKL1	Cyclin-dependent kinase-like 1
CKS2	Cyclin-dependent kinases regulatory subunit 2
CCNI	Cyclin-I
CCNJ	Cyclin-J
CCNL2	Cyclin-L2
CNTD1	Cyclin N-terminal domain-containing protein 1
FAM58A	Cyclin-related protein FAM58A
CCNT2	Cyclin-T2
CST6	Cystatin-M
CSRP1	Cysteine and glycine-rich protein 1
ATG4B	Cysteine protease ATG4B
CRIP1	Cysteine-rich protein 1
MT-CYB	Cytochrome b
CYBA	Cytochrome b-245 light chain
CYB561	Cytochrome b561
CYB5D1	Cytochrome b5 domain-containing protein 1
UQCR11	Cytochrome b-c1 complex subunit 10
UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial
UQCRFS1	Cytochrome b-c1 complex subunit Rieske, mitochondrial
MT-CO1	Cytochrome c oxidase subunit 1
MT-CO2	Cytochrome c oxidase subunit 2
COX5A	Cytochrome c oxidase subunit 5A, mitochondrial
COX5B	Cytochrome c oxidase subunit 5B, mitochondrial
HCCS	Cytochrome c-type heme lyase
CYP20A1	Cytochrome P450 20A1
CYP2D6	Cytochrome P450 2D6
CYFIP1	Cytoplasmic FMR1-interacting protein 1
NCK1	Cytoplasmic protein NCK1
CKAP5	Cytoskeleton-associated protein 5
NT5C3A	Cytosolic 5'-nucleotidase 3A
ACOT7	Cytosolic acyl coenzyme A thioester hydrolase
NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1
CNDP2	Cytosolic non-specific dipeptidase
PLA2G4B	Cytosolic phospholipase A2 beta
NT5C2	Cytosolic purine 5'-nucleotidase
D2HGDH	D-2-hydroxyglutarate dehydrogenase, mitochondrial
DCUN1D1	DCN1-like protein 1
DCUN1D3	DCN1-like protein 3
DCAF16	DDB1- and CUL4-associated factor 16
DCAF4	DDB1- and CUL4-associated factor 4
DCAF7	DDB1- and CUL4-associated factor 7
DAP	Death-associated protein 1
DAXX	Death domain-associated protein 6
CRADD	Death domain-containing protein CRADD
KIAA0141	Death ligand signal enhancer
DOCK2	Dedicator of cytokinesis protein 2
NUS1	Dehydrodolichyl diphosphate syntase complex subunit NUS1
DHRS9	Dehydrogenase/reductase SDR family member 9
C3orf58	Deleted in autism protein 1
DMTN	Dematin
DENND1A	DENN domain-containing protein 1A
DENND1B	DENN domain-containing protein 1B
DENND3	DENN domain-containing protein 3
DENND5A	DENN domain-containing protein 5A
DTL	Denticleless protein homolog
DCTD	Deoxycytidylate deaminase
DNASE1L1	Deoxyribonuclease-1-like 1
DSE	Dermatan-sulfate epimerase
DESI2	Desumoylating isopeptidase 2
DGKI	Diacylglycerol kinase
DGKQ	Diacylglycerol kinase theta
DGAT1	Diacylglycerol O-acyltransferase 1
DIAPH2	Diaphanous homolog 2 (Drosophila), isoform CRA c
CRMP1	Dihydropyrimidinase-related protein 1
DPP3	Dipeptidyl peptidase 3
DPP4	Dipeptidyl peptidase 4
DPP9	Dipeptidyl peptidase 9
NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2
MVD	Diphosphomevalonate decarboxylase
DPH7	Diphthine methyltransferase
DIP2A	Disco-interacting protein 2 homolog A
ADAM12	Disintegrin and metalloproteinase domain-containing protein 12
ADAM15	Disintegrin and metalloproteinase domain-containing protein 15
ADAM8	Disintegrin and metalloproteinase domain-containing protein 8
DLGAP4	Disks large-associated protein 4
DLG5	Disks large homolog 5
APEX2	DNA-(apurinic or apyrimidinic site) lyase 2
ID2	DNA-binding protein inhibitor ID-2
RFX7	DNA-binding protein RFX7
IGHMBP2	DNA-binding protein SMUBP-2
DNMT3A	DNA (cytosine-5)-methyltransferase 3A
DDB2	DNA damage-binding protein 2
DRAM1	DNA damage-regulated autophagy modulator protein 1
PRKDC	DNA-dependent protein kinase catalytic subunit
POLR3E	DNA-directed RNA polymerase III subunit RPC5
CRCP	DNA-directed RNA polymerase III subunit RPC9
POLR2J3	DNA-directed RNA polymerase II subunit RPB11-b2
POLR1B	DNA-directed RNA polymerase I subunit RPA2
POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1
RBBP8	DNA endonuclease RBBP8
ERCC6	DNA excision repair protein ERCC-6
HELB	DNA helicase B
MCM9	DNA helicase MCM9
DNAJA1	DnaJ homolog subfamily A member 1
DNAJA2	DnaJ homolog subfamily A member 2
DNAJB2	DnaJ homolog subfamily B member 2
DNAJB5	DnaJ homolog subfamily B member 5
DNAJB6	DnaJ homolog subfamily B member 6
DNAJC11	DnaJ homolog subfamily C member 11
DNAJC17	DnaJ homolog subfamily C member 17
MSH2	DNA mismatch repair protein Msh2
POLG	DNA polymerase subunit gamma-1
REV3L	DNA polymerase zeta catalytic subunit
RAD51	DNA repair protein RAD51 homolog 1
SPIDR	DNA repair-scaffolding protein
MCM3	DNA replication licensing factor MCM3
MCM4	DNA replication licensing factor MCM4
TOP1	DNA topoisomerase 1
TOP2A	DNA topoisomerase 2
TOP2B	DNA topoisomerase 2
DOK2	Docking protein 2
DOK4	Docking protein 4
DOK6	Docking protein 6
DPM1	Dolichol-phosphate mannosyltransferase subunit 1
RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
ALG12	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase
ADAR	Double-stranded RNA-specific adenosine deaminase
ADARB2	Double-stranded RNA-specific editase B2
DTD1	D-tyrosyl-tRNA(Tyr) deacylase
MAP2K1	Dual-specificity mitogen-activated protein kinase kinase 1
MAP2K4	Dual specificity mitogen-activated protein kinase kinase 4
MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7
DUSP12	Dual specificity protein phosphatase 12
DUSP4	Dual specificity protein phosphatase 4
DUSP5	Dual specificity protein phosphatase 5
DUSP6	Dual-specificity protein phosphatase 6
DNM1L	Dynamin-1-like protein
OPA1	Dynamin-like 120 kDa protein, mitochondrial
DNAH17	Dynein heavy chain 17, axonemal
DNAH1	Dynein heavy chain 1, axonemal
DYNLT1	Dynein light chain Tctex-type 1
KIAA0319L	Dyslexia-associated protein KIAA0319-like protein
PIAS2	E3 SUMO-protein ligase PIAS2
RANBP2	E3 SUMO-protein ligase RanBP2
ARIH2	E3 ubiquitin-protein ligase ARIH2
CBL	E3 ubiquitin-protein ligase CBL
DTX3L	E3 ubiquitin-protein ligase DTX3L
HACE1	E3 ubiquitin-protein ligase HACE1
HECTD1	E3 ubiquitin-protein ligase HECTD1
HECW2	E3 ubiquitin-protein ligase HECW2
MARCH1	E3 ubiquitin-protein ligase MARCH1
MARCH2	E3 ubiquitin-protein ligase MARCH2
MARCH6	E3 ubiquitin-protein ligase MARCH6
MIB1	E3 ubiquitin-protein ligase MIB1
MYCBP2	E3 ubiquitin-protein ligase MYCBP2
NEDD4	E3 ubiquitin-protein ligase NEDD4
NEDD4L	E3 ubiquitin-protein ligase NEDD4-like
RBX1	E3 ubiquitin-protein ligase RBX1
RFFL	E3 ubiquitin-protein ligase rififylin
RNF115	E3 ubiquitin-protein ligase RNF115
RNF125	E3 ubiquitin-protein ligase RNF125
RNF13	E3 ubiquitin-protein ligase RNF13
RNF135	E3 ubiquitin-protein ligase RNF135
RNF19A	E3 ubiquitin-protein ligase RNF19A
RNF213	E3 ubiquitin-protein ligase RNF213
TRIM13	E3 ubiquitin-protein ligase TRIM13
TRIM33	E3 ubiquitin-protein ligase TRIM33
TRIM39	E3 ubiquitin-protein ligase TRIM39
TRIM69	E3 ubiquitin-protein ligase TRIM69
UHRF1	E3 ubiquitin-protein ligase UHRF1
ZFP91	E3 ubiquitin-protein ligase ZFP91
CD69	Early activation antigen CD69
EML3	Echinoderm microtubule-associated protein-like 3
EVI5	Ecotropic viral integration site 5 protein homolog
ENC1	Ectoderm-neural cortex protein 1
ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2
ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4
ENTPD5	Ectonucleoside triphosphate diphosphohydrolase 5
ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
EPG5	Ectopic P granules protein 5 homolog
EFCAB8	EF-hand calcium-binding domain-containing protein 8
EFHD2	EF-hand domain-containing protein D2
EGLN1	Egl nine homolog 1
EGLN2	Egl nine homolog 2
EHBP1L1	EH domain-binding protein 1-like protein 1
EHD1	EH domain-containing protein 1
ELAVL1	ELAV-like protein 1
EAF2	ELL-associated factor 2
EVC2	Ellis van Creveld syndrome 2 (Limbin), isoform CRA c
EVC	Ellis-van Creveld syndrome protein
EEF1A2	Elongation factor 1-alpha 2
ELOVL6	Elongation of very long chain fatty acids protein
ELOVL4	Elongation of very long chain fatty acids protein 4
ELP2	Elongator complex protein 2
ELP5	Elongator complex protein 5
ELP6	Elongator complex protein 6
EVL	Ena/VASP-like protein
ENDOG	Endonuclease G, mitochondrial
SH3GLB2	Endophilin-B2
EDF1	Endothelial differentiation-related factor 1
ECE1	Endothelin-converting enzyme 1
ENKD1	Enkurin domain-containing protein 1
EPS15	Epidermal growth factor receptor substrate 15
ECT2L	Epithelial cell-transforming sequence 2 oncogene-like
EMP3	Epithelial membrane protein 3
EPM2AIP1	EPM2A-interacting protein 1
ESPN	Espin
ESR1	Estrogen receptor
ETNK1	Ethanolamine kinase 1
EPT1	Ethanolaminephosphotransferase 1
ERF	ETS domain-containing transcription factor ERF
ELF4	ETS-related transcription factor Elf-4
ETF1	Eukaryotic peptide chain release factor subunit 1
EIF2AK3	Eukaryotic translation initiation factor 2-alpha kinase 3
EIF2S1	Eukaryotic translation initiation factor 2 subunit 1
EIF3A	Eukaryotic translation initiation factor 3 subunit A
EIF3B	Eukaryotic translation initiation factor 3 subunit B
EIF3J	Eukaryotic translation initiation factor 3 subunit J
EIF3M	Eukaryotic translation initiation factor 3 subunit M
EIF4E	Eukaryotic translation initiation factor 4E
EIF4G3	Eukaryotic translation initiation factor 4 gamma 3
EIF5	Eukaryotic translation initiation factor 5
EIF6	Eukaryotic translation initiation factor 6
EXOC4	Exocyst complex component 4
EXOC6	Exocyst complex component 6
EXOSC6	Exosome complex component MTR3
EXOSC2	Exosome complex component RRP4
